Instancia,Tipo,n,n_seeds,F_media,F_desvio,F_melhor,F_pior,SOTA,Dev_media,Dev_melhor
AUpdata_corrSergio_200_19900_4_100_1,P,200,10,38381.559624946996,1479.631413955791,35919.74662429,40395.186351355,34227.05078753001,0.12138085934446342,0.049454913520527145
AUpdata_corrSergio_200_19900_4_100_2,P,200,10,41350.3275486835,1743.4756935067733,38735.134092845,44257.0314045,36665.58513027999,0.12776947106551548,0.05644390932836598
AUpdata_corrSergio_200_19900_4_100_3,P,200,10,44243.856269135504,2522.686041642028,41802.805168095,48566.290247065,39230.40008287999,0.12779518372649398,0.06557172702242206
AUpdata_corrSergio_200_19900_5_100_1,P,200,10,35906.810266765,798.5722874211898,34733.71713815,36984.209089705,31939.48462699001,0.12421382768407156,0.08748520972685835
AUpdata_corrSergio_200_19900_5_100_2,P,200,10,39053.5695590245,1080.222218444808,37263.17203934,40527.28928308,34545.88333662,0.1304840341895724,0.07865738085902617
AUpdata_corrSergio_200_19900_5_100_3,P,200,10,41234.5859493295,1392.0534766285743,38512.15139913,43476.97313491,36673.67394576,0.1243647421394171,0.050130713821830174
AUpdata_corrSergio_200_29850_10_100_1,P,200,10,27101.754748224,917.0142938558538,25785.757730715,28817.61516805,22760.917198669995,0.19071452664515898,0.1328962495510399
AUpdata_corrSergio_200_29850_10_100_2,P,200,10,25108.7923851685,1149.7071112352448,22405.424971315,26561.520935175,20658.456707784997,0.21542440175148347,0.08456431611717
AUpdata_corrSergio_200_29850_10_100_3,P,200,10,24304.4321513645,996.7619446554492,23303.031796255,26281.33160407,20677.318485264994,0.17541508918016857,0.126985194567716
AUpdata_corrSergio_200_29850_2_100_1,P,200,10,39093.8147199565,741.0062231147392,37985.268698295,40345.835119895,37985.2687,0.0291835771575442,-4.4885742129933773e-11
AUpdata_corrSergio_200_29850_2_100_2,P,200,10,38061.893081523,1369.9173978499118,36559.58146207,40705.25257546,37023.7091,0.028041058196489495,-0.012535957342264321
AUpdata_corrSergio_200_29850_2_100_3,P,200,10,36698.989041914,1230.7722023179933,35113.98319479,38593.96719382,33891.0157,0.08285303004105585,0.03608530076571291
AUpdata_corrSergio_200_29850_3_100_1,P,200,10,36773.778277868,1708.8694813301997,34799.485831835,40136.84421073,34051.621910899994,0.07994204722731976,0.02196265196682496
AUpdata_corrSergio_200_29850_3_100_2,P,200,10,35654.5590785825,1228.1103460545544,34055.091910785,38112.608708535,31685.65060797001,0.12525885990847146,0.07477963233675865
AUpdata_corrSergio_200_29850_3_100_3,P,200,10,33242.632451972,726.0865498076662,31887.033538625,34349.668413345,30381.293897654967,0.09418093133083745,0.04956140597705937
AUpdata_corrSergio_200_29850_4_100_1,P,200,10,34406.9390827065,1093.2715647719067,33277.908213845,36522.42866066,31200.919798104987,0.10275399909191885,0.06656817905304713
AUpdata_corrSergio_200_29850_4_100_2,P,200,10,33289.9227434375,934.993968928809,32197.24768307,34928.734579105,28921.602620385012,0.15104004367909865,0.11325945887854057
AUpdata_corrSergio_200_29850_4_100_3,P,200,10,31516.9653648305,699.6692372310183,30376.558572135,32647.415024785,27973.043759074983,0.12669059671441016,0.08592253434273744
AUpdata_corrSergio_200_29850_5_100_1,P,200,10,33092.610297796,1543.0663679590875,30378.95773253,36394.39885012,29450.54344219999,0.1236672206998143,0.03152452151357174
AUpdata_corrSergio_200_29850_5_100_2,P,200,10,31469.8944266425,816.1973812550818,29980.313155455,32409.446318855,26871.936027904998,0.17110633167490347,0.1156737320423108
AUpdata_corrSergio_200_29850_5_100_3,P,200,10,29796.186793716,1113.77761793979,28049.564792315,31505.44457344,26392.277666635455,0.1289736782128392,0.06279439564151944
AUpdata_corrSergio_200_9950_10_100_1,P,200,10,46755.841804729,1424.6312681242846,44478.373979135,49745.7475825,39256.737739134995,0.1910271840575831,0.13301248500826304
AUpdata_corrSergio_200_9950_10_100_2,P,200,10,50739.553293856996,1955.592219209406,47831.251588255,53916.8013207,43331.723507995026,0.17095626912913284,0.10383912099480136
AUpdata_corrSergio_200_9950_10_100_3,P,200,10,48424.9547571265,2003.7181416291166,45085.41368492,50747.206344835,42389.24953410502,0.1423876404833575,0.0636049040841294
AUpdata_corrSergio_200_9950_2_100_1,P,200,10,71505.0614680345,2011.9872095092626,69038.716800015,74598.8342366799,68155.219611195,0.04915018799659568,0.012963015802165698
AUpdata_corrSergio_200_9950_2_100_2,P,200,10,76319.393399776,1576.3683460652544,73188.08848447,78002.433561565,70337.13598433998,0.08505119424777151,0.040532678225123686
AUpdata_corrSergio_200_9950_2_100_3,P,200,10,77485.7548372575,5568.105060709989,66395.000141525,83709.616244675,66395.000141525,0.1670420162977916,0.0
AUpdata_corrSergio_200_9950_3_100_1,P,200,10,66046.92589012501,2366.1640069477285,63250.758538905,70000.288925475,60963.87492498998,0.08337808204267246,0.03751211052002201
AUpdata_corrSergio_200_9950_3_100_2,P,200,10,70954.053351503,2327.28190759186,66646.173749925,74595.73030739,64316.01173021002,0.10320978311183136,0.0362298898366
AUpdata_corrSergio_200_9950_3_100_3,P,200,10,67283.32741147549,5182.578291279073,61865.52047372,76330.878870075,61865.52047372001,0.08757393288329192,-2.3521850486246844e-16
AUpdata_corrSergio_200_9950_4_100_1,P,200,10,61651.3790860295,1079.5834954910868,60350.980820635,63769.89681635,55583.483491625004,0.10916724201567483,0.08577183417675385
AUpdata_corrSergio_200_9950_4_100_2,P,200,10,66102.14322220851,2046.058173984526,62531.34595762,68895.0934374501,59892.72528973503,0.1036756618176082,0.04405577898017598
