Instancia,bvns_random,bvns_greedy,rvns_random,rvns_greedy,salazar,SOTA,melhor_config,Dev_melhor
AUpdata_ta_ca_80_400_5_50_1,109679.221966669,109679.221966669,133931.441818633,109679.221966669,109679.221966669,109679.22196666856,bvns_random,4.112988440203052e-15
AUpdata_ta_ca_80_400_5_50_2,106153.352662905,105184.927551892,145874.742703455,105184.927551892,105610.828700318,105184.92755189181,bvns_greedy,1.7984981534112076e-15
AUpdata_ta_ca_80_400_5_50_3,111988.211220621,111988.211220621,121406.281803785,112236.909255824,108244.289031256,108244.28903125599,salazar,1.344358705535488e-16
AUpdata_ta_ca_80_400_5_50_4,110065.927598761,112588.705554526,131291.72670048,112588.705554526,110065.927598761,110065.92759876123,bvns_random,-2.11537438273032e-15
AUpdata_ta_ca_80_400_5_50_5,108218.567876245,108218.567876245,136780.974471135,108218.567876245,108218.567876245,108218.56787624481,bvns_random,1.7480816987441866e-15
AUpdata_ta_ca_80_500_2_100_1,128278.048166873,128278.048166873,142312.398912875,128278.048166873,128278.048166873,128278.04816687269,bvns_random,2.4956891658314632e-15
AUpdata_ta_ca_80_500_2_100_2,137524.432221576,137524.432221576,137524.432221576,137524.432221576,137524.432221576,137524.43222157596,bvns_random,2.1162661780593526e-16
AUpdata_ta_ca_80_500_2_100_3,151931.86805838,151931.86805838,189718.65618752,151931.86805838,151931.86805838,151931.86805837989,bvns_random,7.662337290699419e-16
AUpdata_ta_ca_80_500_2_100_4,119001.586138536,119001.586138536,137331.519008895,119001.586138536,119001.586138536,119001.58613853616,bvns_random,-1.3451170921847043e-15
AUpdata_ta_ca_80_500_2_100_5,178710.812887868,178710.812887868,203154.190423285,178710.812887868,178710.812887868,178710.8128878682,bvns_random,-1.139980339773643e-15
AUpdata_ta_ca_80_500_2_50_1,161567.558570418,161567.558570418,168727.16247571,161567.558570418,161567.558570418,161567.55857041822,bvns_random,-1.2609388604974361e-15
AUpdata_ta_ca_80_500_2_50_2,186340.73361495,186340.73361495,223728.935493413,186340.73361495,186340.73361495,186340.73361494896,bvns_random,5.6226992140507485e-15
