instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\P\n=40\AUpdata_ta_cp_40_300_4_50_1.txt,AUpdata_ta_cp_40_300_4_50_1,40,4,50,bvns,42,12208.1277572287,0.1212103
instances\P\n=40\AUpdata_ta_cp_40_300_4_50_2.txt,AUpdata_ta_cp_40_300_4_50_2,40,4,50,bvns,42,12570.3798349956,0.1180037
instances\P\n=40\AUpdata_ta_cp_40_300_4_50_3.txt,AUpdata_ta_cp_40_300_4_50_3,40,4,50,bvns,42,12290.2531903134,0.1223863
instances\P\n=40\AUpdata_ta_cp_40_300_4_50_4.txt,AUpdata_ta_cp_40_300_4_50_4,40,4,50,bvns,42,14250.9588203283,0.1176803
instances\P\n=40\AUpdata_ta_cp_40_300_4_50_5.txt,AUpdata_ta_cp_40_300_4_50_5,40,4,50,bvns,42,14927.4425858299,0.1252123
instances\P\n=40\AUpdata_ta_cp_40_300_5_100_1.txt,AUpdata_ta_cp_40_300_5_100_1,40,5,100,bvns,42,9048.83366992565,0.1563733
instances\P\n=40\AUpdata_ta_cp_40_300_5_100_2.txt,AUpdata_ta_cp_40_300_5_100_2,40,5,100,bvns,42,5851.34967242215,0.1514073
instances\P\n=40\AUpdata_ta_cp_40_300_5_100_3.txt,AUpdata_ta_cp_40_300_5_100_3,40,5,100,bvns,42,9545.60783013713,0.1549124
instances\P\n=40\AUpdata_ta_cp_40_300_5_100_4.txt,AUpdata_ta_cp_40_300_5_100_4,40,5,100,bvns,42,7962.4785908507,0.1503101
instances\P\n=40\AUpdata_ta_cp_40_300_5_100_5.txt,AUpdata_ta_cp_40_300_5_100_5,40,5,100,bvns,42,9464.67829515673,0.1515116
instances\P\n=40\AUpdata_ta_cp_40_300_5_50_1.txt,AUpdata_ta_cp_40_300_5_50_1,40,5,50,bvns,42,9922.55824979338,0.1545751
instances\P\n=40\AUpdata_ta_cp_40_300_5_50_2.txt,AUpdata_ta_cp_40_300_5_50_2,40,5,50,bvns,42,13591.713371639,0.1761433
instances\P\n=40\AUpdata_ta_cp_40_300_5_50_3.txt,AUpdata_ta_cp_40_300_5_50_3,40,5,50,bvns,42,8327.77563858993,0.160338
instances\P\n=40\AUpdata_ta_cp_40_300_5_50_4.txt,AUpdata_ta_cp_40_300_5_50_4,40,5,50,bvns,42,11957.326747287,0.1608133
instances\P\n=40\AUpdata_ta_cp_40_300_5_50_5.txt,AUpdata_ta_cp_40_300_5_50_5,40,5,50,bvns,42,12202.8820973227,0.1581034
instances\P\n=40\AUpdata_ta_cp_40_500_2_100_1.txt,AUpdata_ta_cp_40_500_2_100_1,40,2,100,bvns,42,10461.4468954924,0.0573009
instances\P\n=40\AUpdata_ta_cp_40_500_2_100_2.txt,AUpdata_ta_cp_40_500_2_100_2,40,2,100,bvns,42,8257.79743630804,0.0547243
instances\P\n=40\AUpdata_ta_cp_40_500_2_100_3.txt,AUpdata_ta_cp_40_500_2_100_3,40,2,100,bvns,42,10650.6968192399,0.0578723
instances\P\n=40\AUpdata_ta_cp_40_500_2_100_4.txt,AUpdata_ta_cp_40_500_2_100_4,40,2,100,bvns,42,9300.41279519462,0.0585259
instances\P\n=40\AUpdata_ta_cp_40_500_2_100_5.txt,AUpdata_ta_cp_40_500_2_100_5,40,2,100,bvns,42,6797.62365313738,0.0540283
instances\P\n=40\AUpdata_ta_cp_40_500_2_50_1.txt,AUpdata_ta_cp_40_500_2_50_1,40,2,50,bvns,42,7750.1822282488,0.0591827
instances\P\n=40\AUpdata_ta_cp_40_500_2_50_2.txt,AUpdata_ta_cp_40_500_2_50_2,40,2,50,bvns,42,13008.9930840615,0.0536687
instances\P\n=40\AUpdata_ta_cp_40_500_2_50_3.txt,AUpdata_ta_cp_40_500_2_50_3,40,2,50,bvns,42,8511.04231301065,0.0522511
instances\P\n=40\AUpdata_ta_cp_40_500_2_50_4.txt,AUpdata_ta_cp_40_500_2_50_4,40,2,50,bvns,42,12169.505107036,0.0529913
instances\P\n=40\AUpdata_ta_cp_40_500_2_50_5.txt,AUpdata_ta_cp_40_500_2_50_5,40,2,50,bvns,42,13771.9603754401,0.0494709
instances\P\n=40\AUpdata_ta_cp_40_500_3_100_1.txt,AUpdata_ta_cp_40_500_3_100_1,40,3,100,bvns,42,3698.37971229566,0.1009274
instances\P\n=40\AUpdata_ta_cp_40_500_3_100_2.txt,AUpdata_ta_cp_40_500_3_100_2,40,3,100,bvns,42,6081.61330773353,0.086505
instances\P\n=40\AUpdata_ta_cp_40_500_3_100_3.txt,AUpdata_ta_cp_40_500_3_100_3,40,3,100,bvns,42,7979.8157676019,0.0938325
instances\P\n=40\AUpdata_ta_cp_40_500_3_100_4.txt,AUpdata_ta_cp_40_500_3_100_4,40,3,100,bvns,42,6817.85475408982,0.0864269
instances\P\n=40\AUpdata_ta_cp_40_500_3_100_5.txt,AUpdata_ta_cp_40_500_3_100_5,40,3,100,bvns,42,5181.07837513724,0.0881316
instances\P\n=40\AUpdata_ta_cp_40_500_3_50_1.txt,AUpdata_ta_cp_40_500_3_50_1,40,3,50,bvns,42,10697.3715435675,0.1160444
instances\P\n=40\AUpdata_ta_cp_40_500_3_50_2.txt,AUpdata_ta_cp_40_500_3_50_2,40,3,50,bvns,42,8324.8811405405,0.0879913
instances\P\n=40\AUpdata_ta_cp_40_500_3_50_3.txt,AUpdata_ta_cp_40_500_3_50_3,40,3,50,bvns,42,8279.90525734965,0.0874014
instances\P\n=40\AUpdata_ta_cp_40_500_3_50_4.txt,AUpdata_ta_cp_40_500_3_50_4,40,3,50,bvns,42,10889.2084879275,0.0845662
instances\P\n=40\AUpdata_ta_cp_40_500_3_50_5.txt,AUpdata_ta_cp_40_500_3_50_5,40,3,50,bvns,42,7276.65637210935,0.0934592
instances\P\n=40\AUpdata_ta_cp_40_500_4_100_1.txt,AUpdata_ta_cp_40_500_4_100_1,40,4,100,bvns,42,7651.83095019504,0.1349866
instances\P\n=40\AUpdata_ta_cp_40_500_4_100_2.txt,AUpdata_ta_cp_40_500_4_100_2,40,4,100,bvns,42,5581.54295234934,0.1395289
instances\P\n=40\AUpdata_ta_cp_40_500_4_100_3.txt,AUpdata_ta_cp_40_500_4_100_3,40,4,100,bvns,42,4890.72009330282,0.1294936
instances\P\n=40\AUpdata_ta_cp_40_500_4_100_4.txt,AUpdata_ta_cp_40_500_4_100_4,40,4,100,bvns,42,6051.79266374868,0.1379811
instances\P\n=40\AUpdata_ta_cp_40_500_4_100_5.txt,AUpdata_ta_cp_40_500_4_100_5,40,4,100,bvns,42,6385.39251562775,0.1140827
instances\P\n=40\AUpdata_ta_cp_40_500_4_50_1.txt,AUpdata_ta_cp_40_500_4_50_1,40,4,50,bvns,42,5121.1752544021,0.1280441
instances\P\n=40\AUpdata_ta_cp_40_500_4_50_2.txt,AUpdata_ta_cp_40_500_4_50_2,40,4,50,bvns,42,7553.18778106471,0.1196873
instances\P\n=40\AUpdata_ta_cp_40_500_4_50_3.txt,AUpdata_ta_cp_40_500_4_50_3,40,4,50,bvns,42,6573.28258000182,0.1341451
