instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\R\n=40\AUpdata_ta_ca_40_500_4_50_4.txt,AUpdata_ta_ca_40_500_4_50_4,40,4,50,rvns,42,77475.6671927938,0.0024611
instances\R\n=40\AUpdata_ta_ca_40_500_4_50_5.txt,AUpdata_ta_ca_40_500_4_50_5,40,4,50,rvns,42,47010.003319041,0.0025939
instances\R\n=40\AUpdata_ta_ca_40_500_5_100_1.txt,AUpdata_ta_ca_40_500_5_100_1,40,5,100,rvns,42,38196.8519214472,0.0023248
instances\R\n=40\AUpdata_ta_ca_40_500_5_100_2.txt,AUpdata_ta_ca_40_500_5_100_2,40,5,100,rvns,42,40294.9835759102,0.0030233
instances\R\n=40\AUpdata_ta_ca_40_500_5_100_3.txt,AUpdata_ta_ca_40_500_5_100_3,40,5,100,rvns,42,37525.8484298352,0.0025725
instances\R\n=40\AUpdata_ta_ca_40_500_5_100_4.txt,AUpdata_ta_ca_40_500_5_100_4,40,5,100,rvns,42,39284.4193047424,0.0029513
instances\R\n=40\AUpdata_ta_ca_40_500_5_100_5.txt,AUpdata_ta_ca_40_500_5_100_5,40,5,100,rvns,42,32555.7506454711,0.0025177
instances\R\n=40\AUpdata_ta_ca_40_500_5_50_1.txt,AUpdata_ta_ca_40_500_5_50_1,40,5,50,rvns,42,48054.6652241045,0.0024883
instances\R\n=40\AUpdata_ta_ca_40_500_5_50_2.txt,AUpdata_ta_ca_40_500_5_50_2,40,5,50,rvns,42,36996.1784915415,0.0030807
instances\R\n=40\AUpdata_ta_ca_40_500_5_50_3.txt,AUpdata_ta_ca_40_500_5_50_3,40,5,50,rvns,42,20022.1909164289,0.0026437
instances\R\n=40\AUpdata_ta_ca_40_500_5_50_4.txt,AUpdata_ta_ca_40_500_5_50_4,40,5,50,rvns,42,30702.7850223859,0.0029117
instances\R\n=40\AUpdata_ta_ca_40_500_5_50_5.txt,AUpdata_ta_ca_40_500_5_50_5,40,5,50,rvns,42,56707.7254155451,0.0027917
instances\R\n=60\AUpdata_ta_ca_60_100_2_100_1.txt,AUpdata_ta_ca_60_100_2_100_1,60,2,100,rvns,42,178425.074519139,0.004082
instances\R\n=60\AUpdata_ta_ca_60_100_2_100_2.txt,AUpdata_ta_ca_60_100_2_100_2,60,2,100,rvns,42,229446.908421445,0.0035387
instances\R\n=60\AUpdata_ta_ca_60_100_2_100_3.txt,AUpdata_ta_ca_60_100_2_100_3,60,2,100,rvns,42,153578.669971454,0.0046525
instances\R\n=60\AUpdata_ta_ca_60_100_2_100_4.txt,AUpdata_ta_ca_60_100_2_100_4,60,2,100,rvns,42,179320.537353745,0.0040269
